date,cases_avg,cases_avg_per_100k,deaths_avg,deaths_avg_per_100k
2020-01-21,0.14,0,0,0
2020-01-22,0.14,0,0,0
2020-01-23,0.14,0,0,0
2020-01-24,0.29,0,0,0
2020-01-25,0.43,0,0,0
2020-01-26,0.71,0,0,0
2020-01-27,0.71,0,0,0
2020-01-28,0.71,0,0,0
2020-01-29,0.71,0,0,0
2020-01-30,0.86,0,0,0
2020-01-31,1,0,0,0
2020-02-01,1.14,0,0,0
2020-02-02,1.29,0,0,0
2020-02-03,1.29,0,0,0
2020-02-04,1.14,0,0,0
2020-02-05,1.29,0,0,0
2020-02-06,1.29,0,0,0
2020-02-07,1.29,0,0,0
2020-02-08,1.29,0,0,0
2020-02-09,1.14,0,0,0
2020-02-10,0.7,0,0,0
2020-02-11,0.7,0,0,0
2020-02-12,0.84,0,0,0
2020-02-13,0.7,0,0,0
2020-02-14,0.7,0,0,0
2020-02-15,0.55,0,0,0
2020-02-16,0.55,0,0,0
2020-02-17,1.98,0,0,0
2020-02-18,1.98,0,0,0
2020-02-19,1.84,0,0,0
2020-02-20,1.96,0,0,0
2020-02-21,2,0,0,0
2020-02-22,2,0,0,0
2020-02-23,2,0,0,0
2020-02-24,1.87,0,0,0
2020-02-25,2.1,0,0,0
2020-02-26,3,0,0,0
2020-02-27,3,0,0,0
2020-02-28,4.83,0,0,0
2020-02-29,5,0,0.08,0
2020-03-01,6.66,0,0.23,0
2020-03-02,9.8,0,0.43,0
2020-03-03,11.68,0,0.67,0
2020-03-04,13.52,0,0.77,0
2020-03-05,20.5,0.01,0.77,0
2020-03-06,34.97,0.01,1.04,0
2020-03-07,50.73,0.02,2.51,0
2020-03-08,64.39,0.02,2.65,0
2020-03-09,88.49,0.03,2.69,0
2020-03-10,123.23,0.04,2.74,0
2020-03-11,150.29,0.05,3.57,0
2020-03-12,201.45,0.06,3.98,0
2020-03-13,270.28,0.08,5.04,0
2020-03-14,342.93,0.1,5.33,0
2020-03-15,427.56,0.13,5.6,0
2020-03-16,530.94,0.16,7.8,0
2020-03-17,690.72,0.21,9.8,0
2020-03-18,1006.65,0.3,13.33,0
2020-03-19,1518.99,0.46,17.78,0.01
2020-03-20,2242.91,0.68,22,0.01
2020-03-21,3070.73,0.93,38.17,0.01
2020-03-22,4201.46,1.27,48.54,0.01
2020-03-23,5565.32,1.68,62.28,0.02
2020-03-24,6855.07,2.07,84.54,0.03
2020-03-25,8600.43,2.59,121.01,0.04
2020-03-26,10453.86,3.15,155.94,0.05
2020-03-27,12121.41,3.65,206.3,0.06
2020-03-28,14193.48,4.28,273.04,0.08
2020-03-29,15630.43,4.71,317.46,0.1
2020-03-30,17204.61,5.19,389.18,0.12
2020-03-31,19217.34,5.79,495.47,0.15
2020-04-01,20971.86,6.32,605.67,0.18
2020-04-02,22790.1,6.87,736.48,0.22
2020-04-03,24932.29,7.51,878.22,0.26
2020-04-04,26936.88,8.12,1024.8,0.31
2020-04-05,27951.16,8.42,1162.36,0.35
2020-04-06,29300.57,8.83,1288.83,0.39
2020-04-07,30136.3,9.08,1472.71,0.44
2020-04-08,30831.35,9.29,1627.21,0.49
2020-04-09,31535.71,9.5,1756.12,0.53
2020-04-10,31700.29,9.55,1880.04,0.57
2020-04-11,31219.43,9.41,1955.44,0.59
2020-04-12,31509.86,9.5,2001.11,0.6
2020-04-13,30840.43,9.29,2032.9,0.61
2020-04-14,30430.56,9.17,2103.35,0.63
2020-04-15,30096.99,9.07,2182.44,0.66
2020-04-16,29613.42,8.92,2214.03,0.67
2020-04-17,29372.76,8.85,2221.65,0.67
2020-04-18,28816.48,8.68,2204.85,0.66
2020-04-19,28523.62,8.6,2176.98,0.66
2020-04-20,28728.2,8.66,2189.74,0.66
2020-04-21,28613.54,8.62,2192.07,0.66
2020-04-22,28440.49,8.57,2146.07,0.65
2020-04-23,28789.06,8.68,2123.24,0.64
2020-04-24,29431.05,8.87,2101.32,0.63
2020-04-25,30307.4,9.13,2104.02,0.63
2020-04-26,30423.14,9.17,2062.15,0.62
2020-04-27,29851.57,9,2008.4,0.61
2020-04-28,29670.05,8.94,1970.53,0.59
2020-04-29,29357.13,8.85,1992.38,0.6
2020-04-30,28862.67,8.7,1992.91,0.6
2020-05-01,28556.19,8.61,1951.89,0.59
2020-05-02,27846.15,8.39,1881.64,0.57
2020-05-03,27860.78,8.4,1900.68,0.57
2020-05-04,27603.49,8.32,1844.25,0.56
2020-05-05,27471.35,8.28,1819.89,0.55
2020-05-06,27267.24,8.22,1793.37,0.54
2020-05-07,26908.91,8.11,1726.55,0.52
2020-05-08,25990.71,7.83,1678.64,0.51
2020-05-09,25342.96,7.64,1655.7,0.5
2020-05-10,24422.01,7.36,1636.55,0.49
2020-05-11,23878.6,7.2,1577.7,0.48
2020-05-12,23676.36,7.14,1504.12,0.45
2020-05-13,23080.26,6.96,1468.09,0.44
2020-05-14,22980.4,6.93,1437.95,0.43
2020-05-15,22778.67,6.86,1446.52,0.44
2020-05-16,22591.17,6.81,1416.79,0.43
2020-05-17,22419.87,6.76,1401.69,0.42
2020-05-18,23021.62,6.94,1381.98,0.42
2020-05-19,22832.9,6.88,1362.03,0.41
2020-05-20,23107.05,6.96,1319.89,0.4
2020-05-21,22939.29,6.91,1259.55,0.38
2020-05-22,22583.59,6.81,1215.9,0.37
2020-05-23,22385.62,6.75,1189.56,0.36
2020-05-24,22533.04,6.79,1157.25,0.35
2020-05-25,22158.22,6.68,1120.62,0.34
2020-05-26,21857.58,6.59,1003.12,0.3
2020-05-27,21330.53,6.43,1001.94,0.3
2020-05-28,20807.82,6.27,986.19,0.3
2020-05-29,21012.78,6.33,973.01,0.29
2020-05-30,21100.47,6.36,960.52,0.29
2020-05-31,21193.04,6.39,959.78,0.29
2020-06-01,20981.22,6.32,961.7,0.29
2020-06-02,21238.87,6.4,1016.58,0.31
2020-06-03,21410.61,6.45,957.27,0.29
2020-06-04,21288.88,6.42,929.01,0.28
2020-06-05,21263.15,6.41,881.72,0.27
2020-06-06,21225.17,6.4,849.2,0.26
2020-06-07,20915.18,6.3,821.61,0.25
2020-06-08,20916.16,6.3,831.04,0.25
2020-06-09,20596.11,6.21,824.6,0.25
2020-06-10,20774.43,6.26,809.05,0.24
2020-06-11,20993.49,6.33,790.76,0.24
2020-06-12,21130.54,6.37,779.87,0.24
2020-06-13,21528.15,6.49,775.98,0.23
2020-06-14,21593.85,6.51,761.45,0.23
2020-06-15,21899.9,6.6,725.6,0.22
2020-06-16,22756.04,6.86,690.18,0.21
2020-06-17,23459.36,7.07,668.13,0.2
2020-06-18,24097.08,7.26,648.38,0.2
2020-06-19,25147.51,7.58,637.06,0.19
2020-06-20,26249.22,7.91,618.09,0.19
2020-06-21,27172.94,8.19,603.52,0.18
2020-06-22,28534.79,8.6,590.31,0.18
2020-06-23,29985.54,9.04,590.19,0.18
2020-06-24,31663.27,9.54,589.28,0.18
2020-06-25,33262.14,10.02,575.34,0.17
2020-06-26,35053.07,10.56,565.55,0.17
2020-06-27,36569.14,11.02,557.81,0.17
